信息与计算科学	11027702	离散数学	3	6	春	专业基础	必修	130	否
信息与计算科学	11028504	认识实习	2	6	春	专业实践	必修	130	否
信息与计算科学	11030104	随机过程引论	3	6	春	专业选修	选修	130	是
信息与计算科学	11040202	微分几何	3	6	春	专业选修	选修	130	否
信息与计算科学	11046202	计算智能	2	6	春	专业基础	必修	130	否
信息与计算科学	11047001	时间序列分析	2	6	春	专业选修	选修	130	是
信息与计算科学	13034705	图像处理中的数学方法	2	6	春	专业基础	必修	130	否
信息与计算科学	13232302	数据科学的数学理论	3	6	春	专业基础	必修	130	否
信息与计算科学	71001001	运筹学	3	6	春	专业选修	选修	130	否
信息与计算科学	11037201	泛函分析	3	7	秋	专业选修	选修	130	否
信息与计算科学	11037403	现代数学新进展	2	7	秋	专业选修	选修	130	否
信息与计算科学	13032501	数据科学前沿选讲	2	7	秋	专业选修	选修	130	否
信息与计算科学	13032601	大数据安全与信息处理实践	2	7	秋	专业选修	选修	130	否
信息与计算科学	71000301	数据库与数据库系统	2	7	秋	专业基础	必修	130	否
信息与计算科学	71000801	信息与计算科学课程设计	3	7	秋	专业基础	必修	130	否
信息与计算科学	88000001	科研训练	2	7	秋	学科教育	必修	130	否
信息与计算科学	11020401	毕业实习	3	7	夏	专业实践	必修	130	否
信息与计算科学	06031301	高性能计算引论	2	8	春	专业选修	选修	106	是
信息与计算科学	13031802	毕业设计（论文）	10	8	春	专业实践	必修	130	否
应用统计学	11129201	数学分析（Ⅰ）	5	1	秋	学科教育	必修	130	否
应用统计学	71100201	代数与几何（Ⅰ）	5	1	秋	学科教育	必修	130	否
应用统计学	07029801	微观经济学	3	2	春	专业选修	选修	107	是
应用统计学	11229201	数学分析（Ⅱ）	6	2	春	学科教育	必修	130	否
应用统计学	71200201	代数与几何（Ⅱ）	5	2	春	学科教育	必修	130	否
应用统计学	11022608	概率论	3	3	秋	专业基础	必修	130	否
应用统计学	11329201	数学分析（Ⅲ）	6	3	秋	学科教育	必修	130	否
应用统计学	71000601	数学应用软件设计	2	3	夏	专业基础	必修	130	否
应用统计学	11020601	常微分方程	3	4	春	专业基础	必修	130	否
应用统计学	11022403	复变函数	3	4	春	专业基础	必修	130	否
应用统计学	11029302	数学建模	3	4	春	专业基础	必修	130	否
应用统计学	11029803	数值分析	4	4	春	专业基础	必修	130	否
应用统计学	22000201	现代工程认知实践	1	4	春	学科教育	必修	369	否
应用统计学	71000401	数理统计	3	4	春	专业基础	必修	130	否
应用统计学	11029401	数学物理方程	3	5	秋	专业选修	选修	130	否
应用统计学	11037802	金融工程学	2	5	秋	专业选修	选修	130	否
应用统计学	11038303	实变函数	3	5	秋	专业基础	必修	130	否
应用统计学	11047602	抽样调查	2	5	秋	专业基础	必修	130	否
应用统计学	11047801	试验设计	2	5	秋	专业基础	必修	130	否
应用统计学	13132302	机器学习与数据挖掘	3	5	秋	专业基础	必修	130	否
应用统计学	71000501	数学科技论文写作	1	5	秋	专业实践	必修	130	否
应用统计学	71001101	最优化理论	3	5	秋	专业选修	选修	130	否
应用统计学	11046902	应用线性回归	2	5	夏	专业基础	必修	130	否
应用统计学	06022402	数据结构	3	6	春	专业选修	选修	106	是
应用统计学	06037201	模式识别与大数据分析技术	2	6	春	专业选修	选修	106	是
应用统计学	11030104	随机过程引论	3	6	春	专业基础	必修	130	否
应用统计学	11046003	多元统计分析	3	6	春	专业基础	必修	130	否
应用统计学	11046801	认识实习	2	6	春	专业实践	必修	130	否
应用统计学	11047001	时间序列分析	2	6	春	专业基础	必修	130	否
应用统计学	11047101	非参数统计	2	6	春	专业基础	必修	130	否
应用统计学	13032701	统计计算与软件	3	6	春	专业基础	必修	130	否
应用统计学	13034705	图像处理中的数学方法	2	6	春	专业选修	选修	130	是
应用统计学	13232302	数据科学的数学理论	3	6	春	专业选修	选修	130	否
应用统计学	11037201	泛函分析	3	7	秋	专业选修	选修	130	否
应用统计学	11037403	现代数学新进展	2	7	秋	专业选修	选修	130	否
应用统计学	11046501	风险管理	2	7	秋	专业选修	选修	130	是
应用统计学	11047501	统计决策与贝叶斯分析	2	7	秋	专业基础	必修	130	否
应用统计学	13032601	大数据安全与信息处理实践	2	7	秋	专业选修	选修	130	否
应用统计学	71000901	应用统计学课程设计	3	7	秋	专业基础	必修	130	否
应用统计学	88000001	科研训练	2	7	秋	学科教育	必修	130	否
应用统计学	11020408	毕业实习	3	7	夏	专业实践	必修	130	否
应用统计学	13031803	毕业设计	10	8	春	专业实践	必修	130	否
